Datum,Streams,Song,Land
31 Aug,0,rockstar - Post Malone,Nederland
07 Sep,0,rockstar - Post Malone,Nederland
14 Sep,0,rockstar - Post Malone,Nederland
21 Sep,740308,rockstar - Post Malone,Nederland
28 Sep,1378519,rockstar - Post Malone,Nederland
05 Oct,1532181,rockstar - Post Malone,Nederland
12 Oct,1508618,rockstar - Post Malone,Nederland
19 Oct,1159445,rockstar - Post Malone,Nederland
26 Oct,1462033,rockstar - Post Malone,Nederland
02 Nov,1390593,rockstar - Post Malone,Nederland
31 Aug,87,rockstar - Post Malone,Italië
07 Sep,3,rockstar - Post Malone,Italië
14 Sep,89,rockstar - Post Malone,Italië
21 Sep,418544,rockstar - Post Malone,Italië
28 Sep,634681,rockstar - Post Malone,Italië
05 Oct,755276,rockstar - Post Malone,Italië
12 Oct,771950,rockstar - Post Malone,Italië
19 Oct,837230,rockstar - Post Malone,Italië
26 Oct,859803,rockstar - Post Malone,Italië
02 Nov,896289,rockstar - Post Malone,Italië
31 Aug,0,rockstar - Post Malone,Spanje
07 Sep,0,rockstar - Post Malone,Spanje
14 Sep,0,rockstar - Post Malone,Spanje
21 Sep,254817,rockstar - Post Malone,Spanje
28 Sep,397642,rockstar - Post Malone,Spanje
05 Oct,409780,rockstar - Post Malone,Spanje
12 Oct,584151,rockstar - Post Malone,Spanje
19 Oct,667178,rockstar - Post Malone,Spanje
26 Oct,751888,rockstar - Post Malone,Spanje
02 Nov,771989,rockstar - Post Malone,Spanje
31 Aug,0,rockstar - Post Malone,Canada
07 Sep,0,rockstar - Post Malone,Canada
14 Sep,0,rockstar - Post Malone,Canada
21 Sep,2369340,rockstar - Post Malone,Canada
28 Sep,2770271,rockstar - Post Malone,Canada
05 Oct,2571196,rockstar - Post Malone,Canada
12 Oct,2344780,rockstar - Post Malone,Canada
19 Oct,2365502,rockstar - Post Malone,Canada
26 Oct,2250591,rockstar - Post Malone,Canada
02 Nov,2061074,rockstar - Post Malone,Canada
31 Aug,0,rockstar - Post Malone,Mexico
07 Sep,0,rockstar - Post Malone,Mexico
14 Sep,0,rockstar - Post Malone,Mexico
21 Sep,439506,rockstar - Post Malone,Mexico
28 Sep,802366,rockstar - Post Malone,Mexico
05 Oct,1006812,rockstar - Post Malone,Mexico
12 Oct,1089688,rockstar - Post Malone,Mexico
19 Oct,1225654,rockstar - Post Malone,Mexico
26 Oct,1267810,rockstar - Post Malone,Mexico
02 Nov,1286392,rockstar - Post Malone,Mexico
31 Aug,0,rockstar - Post Malone,Argentinië
07 Sep,0,rockstar - Post Malone,Argentinië
14 Sep,0,rockstar - Post Malone,Argentinië
21 Sep,0,rockstar - Post Malone,Argentinië
28 Sep,127245,rockstar - Post Malone,Argentinië
05 Oct,145781,rockstar - Post Malone,Argentinië
12 Oct,145964,rockstar - Post Malone,Argentinië
19 Oct,154088,rockstar - Post Malone,Argentinië
26 Oct,176125,rockstar - Post Malone,Argentinië
02 Nov,171538,rockstar - Post Malone,Argentinië
31 Aug,0,rockstar - Post Malone,Hong Kong
07 Sep,0,rockstar - Post Malone,Hong Kong
14 Sep,0,rockstar - Post Malone,Hong Kong
21 Sep,56512,rockstar - Post Malone,Hong Kong
28 Sep,85840,rockstar - Post Malone,Hong Kong
05 Oct,77005,rockstar - Post Malone,Hong Kong
12 Oct,76956,rockstar - Post Malone,Hong Kong
19 Oct,78327,rockstar - Post Malone,Hong Kong
26 Oct,78163,rockstar - Post Malone,Hong Kong
02 Nov,73181,rockstar - Post Malone,Hong Kong
31 Aug,0,rockstar - Post Malone,Indonesië
07 Sep,0,rockstar - Post Malone,Indonesië
14 Sep,0,rockstar - Post Malone,Indonesië
21 Sep,143011,rockstar - Post Malone,Indonesië
28 Sep,290947,rockstar - Post Malone,Indonesië
05 Oct,307008,rockstar - Post Malone,Indonesië
12 Oct,289551,rockstar - Post Malone,Indonesië
19 Oct,295118,rockstar - Post Malone,Indonesië
26 Oct,281987,rockstar - Post Malone,Indonesië
02 Nov,269383,rockstar - Post Malone,Indonesië
31 Aug,0,rockstar - Post Malone,Australië
07 Sep,0,rockstar - Post Malone,Australië
14 Sep,0,rockstar - Post Malone,Australië
21 Sep,1394853,rockstar - Post Malone,Australië
28 Sep,1889093,rockstar - Post Malone,Australië
05 Oct,1927662,rockstar - Post Malone,Australië
12 Oct,2083351,rockstar - Post Malone,Australië
19 Oct,2205117,rockstar - Post Malone,Australië
26 Oct,2163190,rockstar - Post Malone,Australië
02 Nov,2041312,rockstar - Post Malone,Australië
31 Aug,605389,Havana - Camila Cabello,Nederland
07 Sep,717037,Havana - Camila Cabello,Nederland
14 Sep,842771,Havana - Camila Cabello,Nederland
21 Sep,837105,Havana - Camila Cabello,Nederland
28 Sep,854055,Havana - Camila Cabello,Nederland
05 Oct,881629,Havana - Camila Cabello,Nederland
12 Oct,829695,Havana - Camila Cabello,Nederland
19 Oct,843940,Havana - Camila Cabello,Nederland
26 Oct,895414,Havana - Camila Cabello,Nederland
02 Nov,1041710,Havana - Camila Cabello,Nederland
31 Aug,312883,Havana - Camila Cabello,Spanje
07 Sep,375322,Havana - Camila Cabello,Spanje
14 Sep,396132,Havana - Camila Cabello,Spanje
21 Sep,410229,Havana - Camila Cabello,Spanje
28 Sep,415349,Havana - Camila Cabello,Spanje
05 Oct,442183,Havana - Camila Cabello,Spanje
12 Oct,477026,Havana - Camila Cabello,Spanje
19 Oct,676384,Havana - Camila Cabello,Spanje
26 Oct,850855,Havana - Camila Cabello,Spanje
02 Nov,1074744,Havana - Camila Cabello,Spanje
31 Aug,202672,Havana - Camila Cabello,Italië
07 Sep,268900,Havana - Camila Cabello,Italië
14 Sep,288632,Havana - Camila Cabello,Italië
21 Sep,305745,Havana - Camila Cabello,Italië
28 Sep,363822,Havana - Camila Cabello,Italië
05 Oct,402569,Havana - Camila Cabello,Italië
12 Oct,421124,Havana - Camila Cabello,Italië
19 Oct,452310,Havana - Camila Cabello,Italië
26 Oct,541984,Havana - Camila Cabello,Italië
02 Nov,674590,Havana - Camila Cabello,Italië
31 Aug,683899,Havana - Camila Cabello,Mexico
07 Sep,774496,Havana - Camila Cabello,Mexico
14 Sep,791208,Havana - Camila Cabello,Mexico
21 Sep,735686,Havana - Camila Cabello,Mexico
28 Sep,771466,Havana - Camila Cabello,Mexico
05 Oct,787947,Havana - Camila Cabello,Mexico
12 Oct,791246,Havana - Camila Cabello,Mexico
19 Oct,868136,Havana - Camila Cabello,Mexico
26 Oct,955935,Havana - Camila Cabello,Mexico
02 Nov,1146086,Havana - Camila Cabello,Mexico
31 Aug,794972,Havana - Camila Cabello,Canada
07 Sep,816566,Havana - Camila Cabello,Canada
14 Sep,853658,Havana - Camila Cabello,Canada
21 Sep,917776,Havana - Camila Cabello,Canada
28 Sep,928176,Havana - Camila Cabello,Canada
05 Oct,869649,Havana - Camila Cabello,Canada
12 Oct,819038,Havana - Camila Cabello,Canada
19 Oct,896069,Havana - Camila Cabello,Canada
26 Oct,1000450,Havana - Camila Cabello,Canada
02 Nov,1158983,Havana - Camila Cabello,Canada
31 Aug,91387,Havana - Camila Cabello,Hong Kong
07 Sep,90696,Havana - Camila Cabello,Hong Kong
14 Sep,92905,Havana - Camila Cabello,Hong Kong
21 Sep,93483,Havana - Camila Cabello,Hong Kong
28 Sep,87981,Havana - Camila Cabello,Hong Kong
05 Oct,81083,Havana - Camila Cabello,Hong Kong
12 Oct,78538,Havana - Camila Cabello,Hong Kong
19 Oct,80768,Havana - Camila Cabello,Hong Kong
26 Oct,93387,Havana - Camila Cabello,Hong Kong
02 Nov,113081,Havana - Camila Cabello,Hong Kong
31 Aug,163808,Havana - Camila Cabello,Argentinië
07 Sep,173717,Havana - Camila Cabello,Argentinië 
14 Sep,200152,Havana - Camila Cabello,Argentinië 
21 Sep,208382,Havana - Camila Cabello,Argentinië 
28 Sep,199870,Havana - Camila Cabello,Argentinië 
05 Oct,213109,Havana - Camila Cabello,Argentinië 
