Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",42953918,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,Havana,"Camila Cabello",31698582,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
3,"New Rules","Dua Lipa",26127050,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
4,Wolves,"Selena Gomez",22975485,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
5,"What Lovers Do (feat. SZA)","Maroon 5",22121324,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
6,"Dusk Till Dawn - Radio Edit",ZAYN,22084551,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
7,Perfect,"Ed Sheeran",20839614,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
8,"Too Good At Goodbyes - Edit","Sam Smith",20625889,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
9,Silence,Marshmello,20339368,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
10,1-800-273-8255,Logic,18413238,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
1,rockstar,"Post Malone",45887403,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,Havana,"Camila Cabello",27090154,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
3,"New Rules","Dua Lipa",25584637,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
4,"Dusk Till Dawn - Radio Edit",ZAYN,22579858,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
5,"Too Good At Goodbyes - Edit","Sam Smith",21574159,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
6,"What Lovers Do (feat. SZA)","Maroon 5",21034068,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
7,Perfect,"Ed Sheeran",20481784,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
8,1-800-273-8255,Logic,20032572,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
9,Silence,Marshmello,19438793,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
10,"I Fall Apart","Post Malone",17129238,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
1,rockstar,"Post Malone",46995997,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"New Rules","Dua Lipa",25572090,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
3,Havana,"Camila Cabello",24163050,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
4,"Dusk Till Dawn - Radio Edit",ZAYN,22264547,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
5,"Too Good At Goodbyes - Edit","Sam Smith",22121442,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
6,1-800-273-8255,Logic,20983737,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
7,"What Lovers Do (feat. SZA)","Maroon 5",19996472,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
8,Perfect,"Ed Sheeran",19573203,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
9,Silence,Marshmello,19345893,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
10,"Mi Gente","J Balvin",17275021,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
1,rockstar,"Post Malone",45176611,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,"New Rules","Dua Lipa",25035207,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
3,"Too Good At Goodbyes - Edit","Sam Smith",23400162,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
